kappa_target,hof,kappa,geometries
,,0.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
,,13.0,[1 1 1 1 1 1 1 0 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1]
,,17.0,[1 1 0 0 1 1 1 1 0 1 1 1 1 1 0 1 1 0 1 0 1 1 1 0 1]
,,20.0,[1 0 1 1 0 0 1 1 0 1 1 1 1 0 1 0 0 1 0 0 0 0 1 1 1]
,,23.0,[0 1 1 0 0 1 0 0 0 0 1 0 1 1 0 1 1 0 0 1 0 0 1 1 0]
,,26.0,[1 1 1 1 0 0 0 0 1 0 1 1 0 1 0 1 0 0 0 0 1 1 0 1 0]
,,33.0,[0 1 1 0 0 1 1 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
,,37.0,[1 1 1 0 0 1 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0]
,,45.0,[0 1 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0]
,,70.0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0]
,,100.0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
,,160.0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
