kappa_target,geometries,kappa_BTE
0.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],11.112430729553111
13.0,[1 1 1 1 1 1 1 0 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1],13.423850023544073
17.0,[1 1 0 0 1 1 1 1 0 1 1 1 1 1 0 1 1 0 1 0 1 1 1 0 1],16.89404368504718
20.0,[1 0 1 1 0 0 1 1 0 1 1 1 1 0 1 0 0 1 0 0 0 0 1 1 1],19.99968498646341
23.0,[0 1 1 0 0 1 0 0 0 0 1 0 1 1 0 1 1 0 0 1 0 0 1 1 0],22.696347297892736
26.0,[1 1 1 1 0 0 0 0 1 0 1 1 0 1 0 1 0 0 0 0 1 1 0 1 0],25.969588397560194
33.0,[0 1 1 0 0 1 1 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0],33.52479748662614
37.0,[1 1 1 0 0 1 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0],34.63859427673961
45.0,[0 1 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0],49.23598004252186
70.0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],90.87158483582226
100.0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],157.07577051605483
160.0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],157.07577051605483
