model_name,mse_train,mse_val,val_perc_error,overall_test_perc_error,test_perc_error_<15,test_perc_error_15-40,test_perc_error_>40,test_perc_error_Q1,test_perc_error_Q2,test_perc_error_Q3,test_perc_error_Q4
peds_ens_fourier_uq1,2.135742,44.039069,10.1674,12.5037,19.7129,12.8001,9.4188,13.8682,12.6066,12.7128,10.8273
peds_ens_fourier_uq1,5.014608,44.537945,10.1461,11.7694,15.2613,12.0508,9.1264,12.5132,11.8482,12.5780,10.1384
peds_ens_fourier_uq1,18.498006,40.443535,9.7313,10.5407,17.8520,10.6651,8.9332,12.1813,10.1099,9.8703,10.0014
peds_ens_fourier_uq1,11.822143,38.626206,8.6649,9.7699,17.7832,9.7938,8.9581,11.2179,9.3083,9.6620,8.8915
peds_ens_fourier_uq1,0.277339,33.769253,6.9388,7.9411,14.9708,7.8743,7.9695,8.8366,7.1226,7.7713,8.0339
peds_ens_fourier_uq1,1.967912,35.433214,6.7948,7.4527,13.3901,7.3536,7.8379,8.1989,6.6258,7.1908,7.7953
mlp_ens,0.004611,407.712128,35.7564,78.0285,9.8456,59.2641,151.0459,31.6701,49.0686,66.8022,117.4457
mlp_ens,0.055751,255.622513,25.5681,67.6702,5.7871,45.6120,66.8833,22.0232,34.6660,47.5526,82.8474
mlp_ens,0.000044,63.584160,13.4784,38.2716,17.3621,24.1738,49.3440,10.9913,10.8347,15.8213,46.5744
mlp_ens,0.000044,63.584160,13.4784,38.2716,17.3621,24.1738,49.3440,10.9913,10.8347,15.8213,46.5744
mlp_ens,0.007079,90.469528,15.5985,37.5269,23.9641,22.2388,55.5310,13.5726,10.1300,14.2303,51.6040
