model_name,mse_train,mse_val,val_perc_error,overall_test_perc_error,test_perc_error_<15,test_perc_error_15-40,test_perc_error_>40,test_perc_error_Q1,test_perc_error_Q2,test_perc_error_Q3,test_perc_error_Q4
peds_fourier,2.129560,4.000187,5.1407,4.9648,7.3658,4.9554,4.3172,4.6246,3.9796,4.6502,6.6048
peds_fourier,2.653521,3.866656,5.2011,5.2376,5.6307,5.1911,7.6047,4.6685,4.0532,4.6862,7.5425
peds_fourier,1.910907,3.451690,4.5495,4.8299,2.2863,4.7713,15.9823,3.7383,3.7762,3.9506,7.8546
peds_fourier,1.988676,3.868625,5.4470,5.4886,12.2559,5.4013,7.4816,4.9963,4.6667,4.4327,7.8587
peds_fourier,1.877115,4.049415,5.4758,5.8420,8.3089,5.7822,8.2459,5.0451,4.7698,5.7291,7.8242
peds_fourier,2.947910,2.755592,4.3658,4.6833,4.9282,4.6652,5.9109,3.9752,3.8024,4.0818,6.8737
peds_ens_fourier,0.635509,3.703624,4.3092,4.6646,8.2939,4.5803,8.1924,4.0268,3.3410,4.3676,6.9231
mlp,1.289772,6.287897,7.6970,8.0754,8.9146,8.0064,13.2821,6.5376,7.6675,7.8370,10.2595
mlp,1.985589,5.914546,7.3517,7.4812,10.9299,7.3458,17.6099,6.0465,6.4539,7.3955,10.0289
mlp,1.554103,8.263748,8.8900,8.6502,7.0265,8.6017,15.7485,6.7580,7.7916,8.1981,11.8532
mlp,1.753515,7.392763,7.9157,8.4172,10.7858,8.3160,14.0134,6.6823,7.0897,8.6636,11.2332
mlp,2.283743,6.256360,7.7455,8.0971,7.3206,8.0667,10.8081,6.7621,6.7366,7.8306,11.0591
mlp_ens,0.444541,6.765408,6.0763,23.6390,9.7375,22.2524,14.0855,9.2341,6.0961,7.9279,15.8158
mlp_ens,1.056012,6.749088,6.1675,23.4134,12.0052,22.2052,18.0823,8.4203,6.2694,7.9164,15.7195
mlp_ens,0.497203,7.838715,6.4842,23.8684,8.5072,22.7297,12.0079,9.1675,6.5830,7.8475,16.7303
mlp_ens,0.701172,6.595098,5.9026,24.3437,10.5356,22.9052,14.8686,8.5794,7.0696,8.1904,15.9505
mlp_ens,0.889191,149.082199,24.2297,42.4186,19.9924,40.9944,45.8889,29.5189,31.4900,32.3622,42.4027
mlp_ens,0.688756,6.623514,5.4681,23.7763,8.1099,22.2931,10.9148,8.6425,6.3982,8.0281,15.9873
peds_ens_fourier_uq1,0.275799,4.282385,4.2468,4.7971,7.4387,4.7278,8.0741,4.2065,3.4942,4.4917,6.9961
peds_ens_fourier_uq1,0.604733,4.036341,4.3311,4.6849,10.7336,4.5390,12.4933,4.7457,3.1746,3.6926,7.1267
peds_ens_fourier_uq1,0.349520,4.269537,4.3433,4.4092,7.6910,4.3607,6.0427,3.5026,3.4056,3.8703,6.8582
peds_ens_fourier_uq1,0.802185,3.387788,3.4229,3.9444,3.8152,3.9170,6.1076,2.3597,2.9759,3.9015,6.5403
peds_ens_fourier_uq1,1.120404,4.067224,4.2618,4.5283,5.1904,4.5064,5.8251,3.4990,3.5114,3.9864,7.1165
peds_ens_fourier_uq1,1.264407,4.025749,4.0150,5.6540,12.0704,5.5747,6.1804,6.0186,4.3738,4.8307,7.3930
peds_ens_fourier_uq1,1.264407,4.025749,4.0150,4.6405,5.6329,4.6046,6.4923,3.2160,3.7850,4.5405,7.0205
peds_ens_fourier_uq1,2.234893,4.041338,4.2440,4.5316,5.0578,4.5051,6.2514,3.5381,3.4847,4.0122,7.0917
peds_ens_fourier_uq1,0.000000,0.000000,0.0000,4.4946,6.4029,4.4541,6.9993,3.2561,3.7762,4.3897,6.5563
peds_ens_fourier_uq1,2.712065,4.105048,4.1242,4.7034,5.6892,4.6693,6.4305,3.2204,3.7903,4.6942,7.1087
peds_ens_fourier_uq1,2.552615,3.641715,4.1814,4.5458,3.0414,4.5496,5.4412,3.0937,3.7652,3.9995,7.3247
peds_ens_fourier_uq1,1.605760,4.563403,4.2916,4.4641,6.9771,4.4222,5.8777,2.9334,3.4629,4.4826,6.9776
