model_name,mse_train,mse_val,val_perc_error,overall_test_perc_error,test_perc_error_<15,test_perc_error_15-40,test_perc_error_>40,test_perc_error_Q1,test_perc_error_Q2,test_perc_error_Q3,test_perc_error_Q4
peds_fourier,1.514468,10.361611,6.0195,6.0702,15.5065,5.8642,7.2588,5.5808,4.7980,6.4894,7.4125
mlp,1.116290,13.135135,8.8260,9.9697,11.6337,9.7546,11.4635,8.7968,7.8606,11.1338,12.0875
peds_ens_fourier_uq1,29.271776,30.909268,5.2001,5.3105,9.7226,4.9483,7.5336,4.5680,3.6702,5.7491,7.2546
peds_fourier,1.023780,35.324034,8.1516,6.8428,10.1251,6.6402,8.0990,6.3304,5.8104,7.3120,7.9185
mlp,1.018329,18.851973,9.2416,9.8691,9.8149,9.6370,11.6396,7.4692,8.4263,10.2160,13.3647
peds_ens_fourier_uq1,25.947144,8.292610,5.1639,4.7728,5.4342,4.4137,7.4476,4.0013,3.6699,4.9838,6.4364
peds_fourier,4.861856,14.579157,7.8183,6.2749,8.1556,6.2310,6.4795,5.3083,5.3159,6.1708,8.3048
mlp,1.413379,15.853408,8.2353,8.5658,5.5363,8.3479,10.6212,6.4057,6.9627,9.2406,11.6544
peds_ens_fourier_uq1,21.258437,20.246864,4.7625,4.9872,6.8732,4.6897,7.2863,3.7768,3.6217,5.1761,7.3741
mlp_ens,2.165676,16.529617,6.2687,38.7776,9.6168,24.3634,28.7231,9.3468,6.1607,9.8079,38.3731
peds_ens_fourier_uq1,2.150194,13.399918,4.9088,4.8167,8.0644,4.6395,6.2357,3.7125,3.3641,5.4415,6.7487
peds_fourier,2.058809,12.245687,5.3739,5.5382,9.5479,5.3812,6.7128,4.6833,4.4785,5.9145,7.0764
mlp,1.325229,14.589434,8.2969,8.5981,9.6171,8.5453,9.0178,7.3320,7.5414,8.9796,10.5397
peds_ens_fourier_uq1,2.041805,13.446535,4.9651,4.8025,7.6856,4.6276,6.2267,3.5735,3.3774,5.5005,6.7587
mlp_ens,2.154135,16.678566,6.3303,38.7655,9.5296,24.3443,28.7575,9.3873,6.1795,9.8348,38.4209
peds_fourier,2.058809,12.245687,5.3739,5.5382,9.5479,5.3812,6.7128,4.6833,4.4785,5.9145,7.0764
mlp,1.325229,14.589434,8.2969,8.5981,9.6171,8.5453,9.0178,7.3320,7.5414,8.9796,10.5397
peds_fourier,0.884817,18.190819,8.1462,6.8913,11.3335,6.7823,7.2191,6.8737,5.8052,7.0585,7.8276
mlp,1.066880,12.427615,8.4494,8.3725,5.5666,8.1897,10.0922,6.8627,7.1853,8.9624,10.4795
peds_ens_fourier_uq1,19.161796,8.165017,5.1973,5.2231,8.4803,4.7855,8.2029,4.5786,4.1633,4.9603,7.1904
mlp_ens,1.736694,13.883567,6.5308,40.4977,6.1865,23.5042,33.4838,9.9062,7.0655,9.5507,41.0272
peds_fourier,2.985815,10.181665,6.5952,6.3697,7.7965,6.3179,6.5982,6.3042,6.0996,6.3182,6.7569
mlp,1.091516,16.557106,9.8131,9.6913,10.1410,9.5956,10.3890,8.4156,9.1515,9.9068,11.2912
peds_ens_fourier_uq1,17.983987,15.970011,5.3481,5.2625,11.2975,4.9431,7.0193,4.7973,4.1290,5.1105,7.0133
mlp_ens,1.815398,17.587683,6.4886,40.0184,8.9201,23.7301,31.1349,9.7444,7.0570,9.5308,39.7095
peds_fourier,4.044441,8.844971,6.2672,6.9998,7.0040,7.1787,5.5417,5.7936,5.8354,7.3349,9.0354
mlp,1.315669,13.043797,8.8224,9.3528,9.1096,9.5991,7.3730,7.9171,8.5032,10.1625,10.8286
peds_ens_fourier_uq1,13.141225,10.587944,4.4185,4.9956,8.6156,4.8024,6.1674,3.9644,3.7100,5.0122,7.2956
mlp_ens,2.124410,14.443508,5.5798,41.2730,9.7166,23.5228,34.3862,9.4249,7.0427,9.1043,45.4945
peds_fourier,9.218940,9.619924,6.9656,6.1691,12.0052,6.1404,5.8236,5.7242,4.9214,6.7370,7.2940
mlp,0.957254,10.980201,7.6803,8.6460,13.0751,8.5664,8.8322,6.9309,7.0295,9.6980,10.9256
peds_ens_fourier_uq1,20.840559,11.567575,4.7515,4.9955,9.6121,4.8422,5.7345,3.6055,4.0453,5.5496,6.7817
mlp_ens,1.524429,14.277988,5.9236,41.2647,11.0452,24.0998,29.9735,8.7703,7.0174,10.7241,42.0386
peds_fourier,6.581556,17.568677,7.7376,6.5558,14.8345,6.4648,6.6099,5.9525,5.3173,7.1232,7.8304
mlp,1.025680,14.863784,9.2823,8.9146,8.6408,8.7455,10.3206,7.4775,7.4485,9.4278,11.3047
peds_ens_fourier_uq1,14.307493,21.278167,5.4002,5.1917,11.1446,4.8547,7.4508,4.2586,3.9988,5.0462,7.4633
mlp_ens,1.669460,14.615119,6.3527,41.3918,10.4632,23.8662,36.2387,9.3223,6.7861,10.4812,44.8126
mlp_ens,1.736694,13.883567,6.5308,40.4977,6.1865,23.5042,33.4838,9.9062,7.0655,9.5507,41.0272
mlp_ens,1.815398,17.587683,6.4886,40.4996,6.0566,24.2095,31.1965,9.9410,7.3693,9.3437,39.1383
mlp_ens,2.124410,14.443508,5.5798,41.6125,6.2511,23.8788,34.1960,9.6447,7.0918,9.1355,44.8682
mlp_ens,1.524429,14.277988,5.9236,41.6988,8.7514,24.5539,29.3377,8.9245,6.9958,10.4626,41.1410
mlp_ens,1.669460,14.615119,6.3527,42.0568,8.7119,24.4574,36.3751,9.3020,6.8764,10.4604,44.4806
mlp_ens,1.736694,13.883567,6.5308,40.4977,6.1865,23.5042,33.4838,9.9062,7.0655,9.5507,41.0272
mlp_ens,1.815398,17.587683,6.4886,40.4996,6.0566,24.2095,31.1965,9.9410,7.3693,9.3437,39.1383
mlp_ens,2.124410,14.443508,5.5798,41.6125,6.2511,23.8788,34.1960,9.6447,7.0918,9.1355,44.8682
mlp_ens,1.736694,13.883567,6.5308,40.4977,6.1865,23.5042,33.4838,9.9062,7.0655,9.5507,41.0272
mlp_ens,1.736694,13.883567,6.5308,40.4977,6.1865,23.5042,33.4838,9.9062,7.0655,9.5507,41.0272
