mean_neighbors,total_edges,largest_comp,n_components,euler,PC1,PC2,kappa
3.2,40,25,1,0,11.475422,-2.5849366,11.112430729553111
3.0,36,24,1,-4,9.149743,-2.6336856,11.420256042784114
3.0833333333333335,37,24,1,-2,11.014349,-2.610321,11.598693418703983
2.782608695652174,32,23,1,-8,9.955947,-2.6771162,12.013442237382687
2.869565217391304,33,23,1,-4,9.215493,-2.5735717,12.194210856370155
2.8181818181818183,31,22,1,-7,9.477796,-2.5323648,12.546543629297295
1.894736842105263,18,18,2,-12,8.31714,-1.8202832,12.844770541358383
2.6,26,20,1,-5,10.799748,-2.344427,13.189077371371582
2.6315789473684212,25,19,1,-8,5.2699523,-2.0633626,13.426371939085978
2.6315789473684212,25,19,1,-8,7.4450183,-2.2055,13.747415810007961
2.1052631578947367,20,19,1,-12,5.19387,-2.2730587,14.039306002118057
2.3157894736842106,22,16,2,-5,6.55456,-2.441331,14.331593145349729
2.4444444444444446,22,18,1,-9,6.789628,-2.2850802,14.633220217524592
1.8888888888888888,17,11,3,-7,9.378644,-2.2100759,14.917107309796826
2.4705882352941178,21,16,2,-3,4.938945,-2.5096924,15.211402702333721
2.2222222222222223,20,17,2,-9,5.308033,-2.2973132,15.49865302286534
2.2222222222222223,20,17,2,-10,4.2913523,-2.5719798,15.792203342848183
2.0,17,16,2,-4,9.215593,-1.8624345,16.084917378453607
1.625,13,13,3,-5,6.177313,-1.4521748,16.37693676525341
2.235294117647059,19,15,2,-5,7.017729,-2.0041165,16.66517804354156
1.75,14,15,2,-6,8.363709,-1.0599831,16.962922019152916
1.75,14,8,2,-5,0.6470982,-2.505063,17.255953478469813
2.0,15,15,1,-7,2.7320938,-2.0160391,17.547036128251683
1.875,15,11,2,-7,1.8378873,-2.475003,17.841365978159278
1.875,15,15,2,-8,7.0012536,-0.67100656,18.13172219776152
1.8666666666666667,14,14,2,-3,5.7400064,-2.1621182,18.42457947332297
1.7333333333333334,13,10,4,-2,3.70279,-1.9526966,18.717966289423142
1.8571428571428572,13,12,3,-3,3.6856835,-1.0521868,19.01055740391791
1.4285714285714286,10,7,4,0,6.4112997,-1.8414031,19.30268215934275
1.6923076923076923,11,5,3,-2,0.868828,-1.8689911,19.59499856911272
1.5714285714285714,11,10,4,-2,5.465284,-1.0653936,19.88793923648141
1.7142857142857142,12,6,4,0,2.924981,-2.223529,20.180206789184002
1.6923076923076923,11,10,3,-1,5.9607434,-0.7121945,20.472845708787176
1.0769230769230769,7,4,6,3,3.9992058,-0.85093164,20.765534259919303
1.5714285714285714,11,8,4,-1,1.8790069,-1.6729262,21.057811672753047
1.8461538461538463,12,9,2,-4,5.882594,-1.5671847,21.35173969581469
1.8571428571428572,13,12,3,-4,5.3144784,-0.587288,21.642930468396074
1.1666666666666667,7,4,5,-1,0.16224922,-1.1104187,21.93488030174619
1.5384615384615385,10,10,3,-1,2.352712,-1.118058,22.227886754542514
1.6923076923076923,11,11,3,-3,4.637135,-1.5904012,22.520151261298476
1.4545454545454546,8,7,4,5,3.313385,-1.4864978,22.812841177709252
1.1666666666666667,7,4,5,0,3.9720974,-0.72570837,23.106758900621475
1.6666666666666667,10,9,3,1,-0.28080952,-1.6677735,23.397133787012436
1.0,6,5,6,1,5.5460525,-1.4084898,23.690291728223166
1.8181818181818181,10,6,3,1,1.5575831,-0.71327716,23.983228751220768
0.7272727272727273,4,3,7,6,3.1334968,-0.1023468,24.275444393420344
1.4545454545454546,8,8,3,1,4.689451,-0.81131583,24.566817855257735
1.3333333333333333,8,5,4,0,5.5600424,-0.66974175,24.860623137061
2.0,13,13,1,0,8.490478,-0.7494267,25.152699134359025
1.2,6,4,4,6,-1.3197526,-1.1619917,25.445891060723536
0.9090909090909091,5,3,6,4,3.649873,-0.4772134,25.738229110936757
1.4545454545454546,8,9,3,-2,0.09069143,-1.2037616,26.030708069523286
1.2,6,5,4,5,8.763559,0.75006074,26.323211996909208
1.2,6,7,4,7,-1.1856295,-0.93242556,26.615522458868035
1.4,7,6,4,4,4.7728252,-0.62091815,26.908998727922988
2.3333333333333335,14,10,2,3,0.37104163,-1.8880082,27.200810629244458
0.4444444444444444,2,3,7,7,0.53480154,-0.9394026,27.493146532919614
0.7272727272727273,4,5,7,5,-0.8453893,-1.2313529,27.779598495297083
1.2,6,4,4,7,4.333273,-0.23370573,28.077883775292086
0.8888888888888888,4,3,5,5,2.8542528,0.35451823,28.370365373740604
1.3333333333333333,6,5,3,0,0.50354964,-0.44006237,28.66288446880766
1.8,9,8,3,1,-7.939035,-2.2889602,28.954532567380078
0.0,0,1,9,8,-1.2792268,-1.2821168,29.250482948249918
1.4,7,5,3,3,3.048613,-0.5344324,29.539995613497634
1.0,5,4,5,4,2.186707,-0.4459615,29.83111824115176
1.4545454545454546,8,6,3,2,5.999647,0.53764534,30.12737139245027
2.0,11,8,2,2,6.119885,0.33084488,30.418719967884748
1.25,5,4,3,0,0.6760474,-0.4652224,30.709537501625604
1.0,5,3,5,4,5.739353,0.1865868,31.002470983866893
1.7777777777777777,8,9,1,-2,0.19756313,-1.1240133,31.295951192740016
1.1111111111111112,5,3,4,8,-5.6987267,-1.3363817,31.588395197751627
0.0,0,1,8,9,-1.5673618,-0.6754092,31.883339338825518
1.8,9,9,2,-1,8.266024,0.35943177,32.17287134922344
1.0,5,3,5,8,4.199014,-0.8998682,32.466564521271025
0.0,0,1,7,11,-0.9424307,-0.84936,32.7560355784309
1.1428571428571428,4,5,3,5,2.8222415,0.55662835,33.049898816477864
1.25,5,6,3,2,-2.8407543,-0.84132946,33.344257112786956
1.1111111111111112,5,4,4,6,-0.9135193,-1.611435,33.638970754843335
1.3333333333333333,6,7,3,3,6.9278827,0.9203966,33.92892454814842
1.1111111111111112,5,6,4,3,-2.8353844,-0.92835426,34.218443089884275
1.25,5,4,3,2,4.037839,-0.5182821,34.51028799387882
0.5714285714285714,2,3,5,9,0.07621622,0.13053952,34.80188060265551
1.0,4,4,4,4,0.6529875,-0.80187565,35.1006111374018
1.25,5,6,3,1,0.38069963,0.03719465,35.389810506778915
1.25,5,3,3,4,2.8004553,0.039949942,35.68354032393795
0.5714285714285714,2,2,5,7,4.543043,0.13451791,35.9770895574056
0.5,2,2,6,12,-1.5572057,-0.97845113,36.26797407501132
1.0,4,3,4,3,5.252909,-0.9472791,36.55695961532745
