kappa_target,kappa_optimized,error_optimization,geometry,kappa_BTE,error_model
10.0,[9.982805],[0.00171947],"[1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1]",24.880728833635374,1.4880728833635373
12.63,[12.628012],[0.00015744],"[1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]",13.62806782831409,0.07902358102249327
15.26,[15.260072],[4.687128e-06],"[1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1]",24.502950663080632,0.6056979464666208
17.89,[17.887772],[0.00012453],"[1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1]",16.934336478001704,0.05341886651751238
20.53,[20.527855],[0.00010452],"[1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1]",21.221630224414774,0.03368875910447019
23.16,[23.166492],[0.00028034],"[0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1]",23.741054499863477,0.02508870897510694
25.79,[25.7886],[5.4284366e-05],"[1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0]",25.211309459986907,0.022438563009425823
28.42,[28.416176],[0.00013456],"[0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0]",33.112362827801306,0.1651077701548664
31.05,[31.049137],[2.776559e-05],"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",30.60685196136195,0.014272078539067631
33.68,[33.682198],[6.523948e-05],"[0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0]",30.96646163471626,0.0805682412495172
36.32,[36.345726],[0.00070832],"[0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0]",27.72555966333301,0.2366310665381881
38.95,[38.952133],[5.4747514e-05],"[0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1]",27.833930641764887,0.28539330829871923
41.58,[41.544415],[0.00085588],"[0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1]",25.933910284735838,0.37628883394093704
44.21,[44.210445],[1.0095444e-05],"[0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0]",47.037955624096426,0.06396642443104332
46.84,[46.861374],[0.00045631],"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1]",38.76467493259923,0.17240232850983722
49.47,[49.44827],[0.0004393],"[0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",37.03211602537807,0.251422760756457
52.11,[52.12194],[0.00022913],"[1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1]",26.217870262172184,0.49687449122678595
54.74,[54.734524],[0.00010007],"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0]",47.65511414624686,0.12942794763889556
57.37,[57.351887],[0.00031571],"[0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0]",33.68387588287762,0.41286602958205293
60.0,[60.02182],[0.00036367],"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0]",39.97112424042061,0.33381459599298985
