kappa_target,kappa_optimized,error_optimization,geometry,kappa_BTE,error_model
10.0,11.93405055999756,0.1934050619602203,"[1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",12.03052126544516,0.20305212654451593
12.63,12.63415813446045,0.0003292177279945,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",11.368246912958409,0.09990127371667397
15.26,15.259613037109377,2.5372986783622764e-05,"[0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1]",15.274657163412211,0.0009604956364489816
17.89,17.890901565551758,5.042906195740216e-05,"[0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0]",17.473315501982384,0.023291475573930492
20.53,20.528011322021484,9.690036677056924e-05,"[0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0]",20.391352677722512,0.006753400987700384
23.16,23.16131019592285,5.657808651449159e-05,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0]",22.111638987023337,0.045266019558577855
25.79,25.78766822814941,9.04492917470634e-05,"[0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1]",27.24961745063266,0.056596256325423026
28.42,28.40288543701172,0.0006022040615789,"[0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0]",29.13023461230094,0.024990661938808473
31.05,31.059633255004883,0.0003102743357885,"[1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0]",31.308674508118685,0.008330902032807862
33.68,33.67813491821289,5.53855970792938e-05,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",34.27939780550308,0.017796846956742305
36.32,36.33761215209961,0.0004849245015066,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0]",34.49153835379553,0.05034310699902186
38.95,38.95171737670898,4.407223968883045e-05,"[1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0]",35.011827333875026,0.10110841248074395
41.58,41.60956954956055,0.0007111043087206,"[0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",38.54346606500461,0.0730287141653533
44.21,44.217227935791016,0.0001635116786928,"[0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1]",47.098285734119436,0.06533105030806231
46.84,46.83634185791016,7.810193346813321e-05,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",45.813216371152116,0.02192108515900699
49.47,49.43488693237305,0.0007098097121343,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0]",45.37492038483644,0.08277905023577029
52.11,52.10021209716797,0.00018784328131,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]",52.92285123065142,0.015598757064890006
54.74,54.73505783081055,9.031507943291216e-05,"[1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",51.53673254282363,0.05851785636054756
57.37,57.3546257019043,0.000267966359388,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0]",61.15609980531355,0.06599441877834329
60.0,59.96289825439453,0.0006183624500408,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",59.83119991282934,0.002813334786177653
