kappa_target,kappa_optimized,error_optimization,geometry,kappa_BTE,error_model
10.0,11.354286193847656,0.1354286223649978,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]",11.480621835054274,0.14806218350542738
12.63,12.62981128692627,1.495071319368435e-05,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1]",12.493667216232591,0.010794361343421183
15.26,15.264411926269531,0.0002891020558308,"[0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0]",15.366469917369677,0.006977058805352405
17.89,17.88912582397461,4.882983193965629e-05,"[1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0]",17.624455394231845,0.014843186459930456
20.53,20.53145980834961,7.107265992090106e-05,"[0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0]",19.868293737941183,0.03223118665654252
23.16,23.160480499267575,2.075353404507041e-05,"[0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1]",23.076910100229163,0.0035876467949411354
25.79,25.77535057067871,0.0005680629983544,"[1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",25.85003745606414,0.0023279354813548108
28.42,28.420108795166016,3.825435214821482e-06,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0]",25.947788977080965,0.08698842445176062
31.05,31.051029205322266,3.317127993796021e-05,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1]",32.41018726709688,0.04380635320762897
33.68,33.68072509765625,2.151996704924386e-05,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1]",34.59463995160449,0.027156768159278276
36.32,36.31997680664063,6.301812618403346e-07,"[0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0]",31.456007732191793,0.13392049195507177
38.95,38.95699691772461,0.0001796188589651,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0]",36.08812010018194,0.07347573555373718
41.58,41.57975769042969,5.87158774578711e-06,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0]",42.618863411581756,0.024984690033231317
44.21,44.19838333129883,0.0002627404173836,"[1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]",41.863943897963324,0.053066186429239465
46.84,46.84773254394531,0.0001650809426791,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]",46.49947196282043,0.007270026412885867
49.47,49.48844528198242,0.0003728332521859,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0]",59.40122289851077,0.20075243376815785
52.11,52.10511779785156,9.370202315039931e-05,"[0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",51.40007575505496,0.013623570234984513
54.74,54.74105072021485,1.91640792763792e-05,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",62.944790609964464,0.1498865657647874
57.37,57.3920783996582,0.0003848608757834,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",53.1586767887361,0.07340636589269471
60.0,59.96941757202149,0.0005097071407362,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",66.02676885517639,0.10044614758627309
