kappa_target,kappa_optimized,error_optimization,geometry,kappa_BTE,error_model,error_total
10.0,11.768938064575195,0.176893800497055,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]",12.523216222763125,0.0640905877870431,0.2523216222763125
12.63,12.629117012023926,6.99210140737705e-05,"[1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]",12.529965974239039,0.007850987340642067,0.00792035041654491
15.26,15.260496139526367,3.2497420761501417e-05,"[1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1]",15.082586556800244,0.011658178154858123,0.011626044770626186
17.89,17.888446807861328,8.67849012138322e-05,"[0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1]",16.75072609818377,0.06360086607282037,0.06368216332119797
20.53,20.5289363861084,5.184123074286617e-05,"[1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1]",21.79203242340538,0.061527592737424974,0.061472597340739385
23.16,23.147485733032227,0.0005403331015259,"[1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0]",24.643417300483286,0.0646260930756862,0.06405083335420059
25.79,25.78926086425781,2.869527816073969e-05,"[1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1]",32.436901346396425,0.2577677785000733,0.2577317311514706
28.42,28.41912078857422,3.093904524575919e-05,"[1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",29.474099850786313,0.03712215694710176,0.037090072159968734
31.05,31.047521591186523,7.97953616711311e-05,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1]",29.473738306639426,0.05068949803045948,0.050765271927876804
33.68,33.68080520629883,2.3898488507256843e-05,"[0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0]",34.760215839133934,0.032048243093465,0.03207291683889355
36.32,36.31432342529297,0.0001562849502079,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",45.04876955234728,0.24052344373214346,0.24032955815934143
38.95,38.96186447143555,0.0003045881458092,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0]",40.882520856216395,0.049295802724968564,0.04961542634701905
41.58,41.58815383911133,0.0001960559748113,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",42.505982754319575,0.022069479659014832,0.022269907511293336
44.21,44.20133972167969,0.0001958688808372,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",36.36710282327646,0.1772398064794566,0.17740097662799229
46.84,46.89916610717773,0.0012631501303985,"[1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]",42.697993022296366,0.08957884400930508,0.08842884239333128
49.47,49.48077392578125,0.0002177623828174,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]",35.503562677631336,0.28247761987545,0.28232135278691456
52.11,52.09791946411133,0.0002318393089808,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0]",53.84409459139031,0.0335171758342839,0.033277578034740164
54.74,54.7265853881836,0.0002450911561027,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0]",44.41174717102406,0.18847947746044993,0.18867834908615164
57.37,57.322078704833984,0.0008352837176062,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]",50.786762426195594,0.11401045506898663,0.11475052420785085
60.0,60.02009963989258,0.0003349939943291,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",50.994319216888094,0.15037929755460563,0.15009467971853177
